symbol,rebalance,next_rebalance,detect_date,weight,source,reason,debt_ratio,cash_ratio,receivables_ratio,filed_date
HLT,2020-01-31,2020-02-27,2020-02-11,0.004058077957273268,filing,debt ratio exceeds threshold,0.31301298178982123,0.02116653898980943,0.07077807368525495,2020-02-11
FIS,2020-01-31,2020-02-27,2020-02-20,0.006090103620511062,filing,debt ratio exceeds threshold,0.523107504112324,0.030052854814352544,0.11462868407488287,2020-02-20
NOW,2020-01-31,2020-02-27,2020-02-20,0.001556281865030987,filing,cash ratio exceeds threshold,0.0,0.33816485786085365,0.44260916503170944,2020-02-20
ABBV,2020-01-31,2020-02-27,2020-02-21,0.015993828528660905,filing,debt ratio exceeds threshold,0.4655059976080556,0.29511490986111966,0.33523823745169573,2020-02-21
GPN,2020-01-31,2020-02-27,2020-02-21,0.0039422028491039466,filing,debt ratio exceeds threshold,0.42129590822574803,0.07778011395206515,0.11926993531815708,2020-02-21
BMY,2020-01-31,2020-02-27,2020-02-24,0.013158159432532186,filing,debt ratio exceeds threshold,0.5274421068035265,0.17372983437884756,0.24681983681095418,2020-02-24
AMT,2020-01-31,2020-02-27,2020-02-25,0.01305116893436265,filing,debt ratio exceeds threshold,0.30451833251507265,0.019003754698389014,0.02485476417187383,2020-02-25
FISV,2020-01-31,2020-02-27,2020-02-27,0.006265526255105628,filing,debt ratio exceeds threshold,0.6086611057027072,0.0,0.07732294607356187,2020-02-27
LITE,2020-07-31,2020-08-31,2020-08-25,0.000910830136059985,filing,debt ratio exceeds threshold,0.3248392512515786,0.32804837423287586,0.32804837423287586,2020-08-25
ICE,2021-01-31,2021-02-28,2021-02-04,0.006417653210653652,filing,debt ratio exceeds threshold,0.3228193927521905,0.03886638513452327,0.0628772609333498,2021-02-04
NOW,2021-01-31,2021-02-28,2021-02-12,0.0021605870313902414,filing,cash ratio exceeds threshold,0.0,0.34656985718972216,0.423286872602116,2021-02-12
CCI,2021-01-31,2021-02-28,2021-02-22,0.0069549526294032825,filing,debt ratio exceeds threshold,0.315240005344861,0.003793344462656004,0.010840462839400563,2021-02-22
GILD,2021-01-31,2021-02-28,2021-02-25,0.008718297492160932,filing,debt ratio exceeds threshold,0.37026922354618874,0.0873496722511358,0.14503252817075735,2021-02-25
NTAP,2021-05-31,2021-06-30,2021-06-21,0.0016662352548240196,filing,cash ratio exceeds threshold,0.21771363054509624,0.3801716740065586,0.4583401317820586,2021-06-21
LITE,2021-07-31,2021-08-31,2021-08-31,0.000573085444830724,filing,cash ratio exceeds threshold,0.26189155262184166,0.332598682635322,0.332598682635322,2021-08-31
ICE,2022-01-31,2022-02-11,2022-02-03,0.006617363842509511,filing,cash ratio exceeds threshold,0.22669522526012897,2.410220768292344,2.4298965717205836,2022-02-03
GPN,2023-01-31,2023-02-28,2023-02-17,0.003040259720194746,filing,debt ratio exceeds threshold,0.3206222547133613,0.047587799755572265,0.07137095550891406,2023-02-17
FISV,2023-01-31,2023-02-28,2023-02-23,0.0067863925065059835,filing,debt ratio exceeds threshold,0.3011518462574164,0.012682741867783624,0.06309031348197906,2023-02-23
CPAY,2023-01-31,2023-02-28,2023-02-28,0.0015601307501026433,filing,debt ratio exceeds threshold,0.4080618693302155,0.083223549562287,0.20295587811380641,2023-02-28
GEN,2023-04-30,2023-05-31,2023-05-25,0.0007272393486155331,filing,debt ratio exceeds threshold,0.681936996351251,0.053673286521506804,0.06569610270232433,2023-05-25
NSC,2024-01-31,2024-02-29,2024-02-05,0.00342751241121824,filing,debt ratio exceeds threshold,0.3246075513599389,0.029628304356038433,0.05130156015729869,2024-02-05
AMGN,2024-01-31,2024-02-29,2024-02-14,0.010720569433840284,filing,debt ratio exceeds threshold,0.4724126536504272,0.15964960155341648,0.21400285731930702,2024-02-14
NDAQ,2024-01-31,2024-02-29,2024-02-21,0.001814241465363175,filing,debt ratio exceeds threshold,0.38092898173809897,0.016506679618075264,0.05035812634035324,2024-02-21
FISV,2024-01-31,2024-02-29,2024-02-22,0.005871999514463119,filing,debt ratio exceeds threshold,0.32196614776245513,0.01676819975369824,0.06665498672857124,2024-02-22
CRWD,2024-02-29,2024-03-31,2024-03-07,0.0013564869152190618,filing,cash ratio exceeds threshold,0.07342260432116986,0.3435968322041606,0.4279573669147598,2024-03-07
